classroom,firstname,lastname,birthday,gender,email
2E,Mario,Bravin,4-22-2000,O,
2E,Luca,Peric,12-19-2000,O,
2E,Gino,Degrassi,7-21-2000,O,
2E,Pippo,Smith,9-23-2000,F,
2E,Lorenzo,Dalvador,3-9-2000,M,
2E,Maurizio,Peric,10-17-2000,O,
3A,Veronica,Verdi,11-2-2000,M,
3A,Sofia,Ronchiato,3-14-2000,O,
3A,Massimo,Bravin,10-7-2000,F,
3A,Andrea,Petronio,4-11-2000,F,
3A,Mario,Degrassi,6-4-2000,M,
3A,Giacomo,Petronio,12-22-2000,M,
3A,Mario,Nemesi,7-6-2000,F,
3A,Veronica,Caenazzo,9-6-2000,F,
3A,Luca,Nkrtov,8-23-2000,F,
3A,Zambio,Petronio,9-15-2000,F,
3B,Serena,Ronchiato,6-10-2000,F,
3B,Veronica,Caenazzo,9-18-2000,F,
3B,Gino,Dalvador,2-2-2000,O,
3B,Davide,Dalvador,11-11-2000,F,
3B,Lorenzo,Gustin,4-10-2000,F,
3B,Pippo,Franzoni,6-6-2000,F,
3B,Luisa,Rossi,7-17-2000,O,
3B,Sofia,Rossi,10-22-2000,F,
3B,Elisa,Falanga,2-17-2000,M,
3B,Maurizio,Degrassi,2-5-2000,O,
3C,Graziella,Bravin,4-2-2000,F,
3C,Massimo,Komauli,7-25-2000,M,
3C,Giacomo,Degrassi,9-6-2000,M,
3C,Massimo,Novelli,5-22-2000,M,
3C,Elisa,Bravin,5-22-2000,F,
3C,Pippo,Peric,12-16-2000,F,
3C,Maurizio,Novelli,10-15-2000,F,
3C,Luca,Caenazzo,10-22-2000,M,
3C,Elisa,Bravin,2-2-2000,F,
3C,Serena,Falanga,2-8-2000,M,
3D,Mario,Nemesi,3-18-2000,M,
3D,Ludovico,Bianchi,8-9-2000,M,
3D,Elisa,Nkrtov,12-18-2000,M,
3D,Luca,Pacco,2-28-2000,O,
3D,Serena,Komauli,8-21-2000,F,
3D,Riccardo,Bravin,4-10-2000,F,
3D,Riccardo,Gustin,11-27-2000,F,
3D,Fabio,Gustin,5-17-2000,M,
3D,Luisa,Novelli,2-18-2000,O,
3D,Giacomo,Gustin,2-17-2000,O,
3E,Luca,Peric,4-19-2000,O,
3E,Maurizio,Dalvador,12-25-2000,O,
3E,Elisa,Nkrtov,12-14-2000,M,
3E,Serena,Franzoni,7-22-2000,F,
3E,Fabiana,Rossi,2-16-2000,O,
3E,Zambio,Nkrtov,12-14-2000,F,
3E,Lorenzo,Nkrtov,7-10-2000,O,
3E,Massimo,Bianchi,5-10-2000,M,
3E,Lorenzo,Verdi,6-6-2000,M,
3E,Davide,Degrassi,4-11-2000,O,
4A,Fabio,Bravin,6-26-2000,O,
4A,Maurizio,Pacco,10-2-2000,M,
4A,Serena,Bravin,8-18-2000,M,
4A,Elisa,Peric,10-12-2000,M,
4A,Silvia,Nemesi,6-8-2000,O,
4A,Silvia,Smith,6-5-2000,O,
4A,Mario,Bianchi,11-14-2000,M,
4A,Andrea,Nkrtov,12-23-2000,O,
4A,Maurizio,Komauli,2-2-2000,F,
4A,Andrea,Caenazzo,7-5-2000,M,
4B,Massimo,Nkrtov,10-12-2000,M,
4B,Luisa,Verdi,5-17-2000,M,
4B,Elisa,Peric,8-16-2000,F,
4B,Graziella,Baruzza,5-22-2000,O,
4B,Graziella,Franzoni,10-13-2000,M,
4B,Serena,Falanga,2-8-2000,F,
4B,Gino,Bravin,6-25-2000,O,
4B,Maurizio,Gustin,2-24-2000,O,
4B,Pippo,Rossi,4-15-2000,O,
4B,Pippo,Smith,7-25-2000,O,
4C,Gino,Komauli,7-8-2000,F,
4C,Massimo,Komauli,2-18-2000,O,
4C,Pippo,Nkrtov,5-19-2000,M,
4C,Maurizio,Verdi,7-13-2000,F,
4C,Fabio,Pacco,9-23-2000,F,
4C,Guglielmo,Bravin,11-12-2000,F,
4C,Davide,Verdi,6-21-2000,O,
4C,Fabiana,Novelli,6-11-2000,F,
4C,Davide,Baruzza,12-19-2000,F,
4C,Giovanna,Novelli,5-13-2000,M,
4D,Elisa,Komauli,7-23-2000,F,
4D,Riccardo,Pacco,10-20-2000,M,
4D,Graziella,Bravin,7-7-2000,O,
4D,Riccardo,Baruzza,3-8-2000,F,
4D,Silvia,Degrassi,5-8-2000,O,
4D,Davide,Gustin,12-6-2000,O,
4D,Giovanna,Nkrtov,4-25-2000,F,
4D,Graziella,Novelli,10-23-2000,M,
4D,Riccardo,Ronchiato,10-25-2000,F,
4D,Davide,Nemesi,5-16-2000,O,
4E,Zambio,Gustin,4-16-2000,O,
4E,Ludovico,Nemesi,11-3-2000,O,
4E,Sofia,Nemesi,10-20-2000,O,
4E,Andrea,Degrassi,11-12-2000,F,
4E,Elisa,Petronio,12-7-2000,F,
4E,Riccardo,Nemesi,4-19-2000,F,
4E,Sofia,Petronio,6-27-2000,O,
4E,Giovanna,Ronchiato,2-27-2000,F,
4E,Lorenzo,Franzoni,4-18-2000,F,
4E,Fabio,Bianchi,4-21-2000,M,
5A,Sofia,Falanga,6-16-2000,M,
5A,Silvia,Nemesi,6-20-2000,F,
5A,Lorenzo,Franzoni,6-21-2000,F,
5A,Veronica,Pacco,2-16-2000,F,
5A,Graziella,Pacco,9-8-2000,O,
5A,Massimo,Rossi,9-24-2000,F,
5A,Zambio,Bravin,12-9-2000,F,
5A,Riccardo,Peric,4-28-2000,M,
5A,Gino,Falanga,12-4-2000,F,
5A,Andrea,Pacco,5-2-2000,M,
5B,Veronica,Dalvador,8-2-2000,M,
5B,Serena,Bravin,8-5-2000,O,
5B,Luisa,Rossi,4-18-2000,M,
5B,Luisa,Peric,9-11-2000,O,
5B,Lorenzo,Gustin,3-13-2000,F,
5B,Maurizio,Komauli,9-25-2000,F,
5B,Maurizio,Peric,8-11-2000,F,
5B,Maurizio,Smith,12-9-2000,M,
5B,Giacomo,Bravin,11-9-2000,M,
5B,Davide,Gustin,5-13-2000,F,
5C,Mario,Komauli,5-22-2000,M,
5C,Maurizio,Degrassi,2-2-2000,M,
5C,Guglielmo,Franzoni,2-20-2000,F,
5C,Sofia,Petronio,10-28-2000,M,
5C,Sofia,Dalvador,10-13-2000,O,
5C,Giacomo,Smith,9-24-2000,O,
5C,Silvia,Ronchiato,12-18-2000,O,
5C,Riccardo,Falanga,7-3-2000,O,
5C,Luisa,Baruzza,11-7-2000,F,
5C,Andrea,Smith,6-3-2000,O,
5D,Riccardo,Caenazzo,4-9-2000,M,
5D,Luisa,Novelli,11-18-2000,M,
5D,Guglielmo,Nemesi,12-28-2000,F,
5D,Guglielmo,Gustin,12-26-2000,O,
5D,Veronica,Komauli,2-6-2000,F,
5D,Serena,Dalvador,10-24-2000,M,
5D,Maurizio,Bravin,2-24-2000,M,
5D,Giovanna,Pacco,4-4-2000,O,
5D,Veronica,Nkrtov,6-24-2000,M,
5D,Silvia,Franzoni,9-16-2000,O,
5E,Silvia,Rossi,5-3-2000,O,
5E,Maurizio,Petronio,5-19-2000,M,
5E,Giacomo,Franzoni,12-24-2000,M,
5E,Mario,Nemesi,10-23-2000,M,
5E,Fabio,Verdi,7-28-2000,M,
5E,Lorenzo,Bianchi,6-14-2000,O,
5E,Luisa,Franzoni,2-8-2000,O,
5E,Mario,Caenazzo,2-18-2000,F,
5E,Gino,Novelli,11-24-2000,O,
5E,Silvia,Petronio,9-15-2000,M,
